date,home_team,home_score,away_score,away_team,final_score
24-10-2024,Leicester,1,3,Nott'm Forest,Leicester 1 - 3 Nott'm Forest
01-11-2024,Ipswich,1,1,Leicester,Ipswich 1 - 1 Leicester
09-11-2024,Man United,3,0,Leicester,Man United 3 - 0 Leicester
22-11-2024,Leicester,1,2,Chelsea,Leicester 1 - 2 Chelsea
29-11-2024,Brentford,4,1,Leicester,Brentford 4 - 1 Leicester
02-12-2024,Leicester,3,1,West Ham,Leicester 3 - 1 West Ham
07-12-2024,Leicester,2,2,Brighton,Leicester 2 - 2 Brighton
13-12-2024,Newcastle,4,0,Leicester,Newcastle 4 - 0 Leicester
21-12-2024,Leicester,0,3,Wolves,Leicester 0 - 3 Wolves
25-12-2024,Liverpool,3,1,Leicester,Liverpool 3 - 1 Leicester
28-12-2024,Leicester,0,2,Man City,Leicester 0 - 2 Man City
03-01-2025,Aston Villa,2,1,Leicester,Aston Villa 2 - 1 Leicester
14-01-2025,Leicester,0,2,Crystal Palace,Leicester 0 - 2 Crystal Palace
17-01-2025,Leicester,0,2,Fulham,Leicester 0 - 2 Fulham
25-01-2025,Tottenham,1,2,Leicester,Tottenham 1 - 2 Leicester
31-01-2025,Everton,4,0,Leicester,Everton 4 - 0 Leicester
14-02-2025,Leicester,0,2,Arsenal,Leicester 0 - 2 Arsenal
20-02-2025,Leicester,0,4,Brentford,Leicester 0 - 4 Brentford
26-02-2025,West Ham,2,0,Leicester,West Ham 2 - 0 Leicester
08-03-2025,Chelsea,1,0,Leicester,Chelsea 1 - 0 Leicester
16-08-2024,Ipswich,0,2,Liverpool,Ipswich 0 - 2 Liverpool
24-08-2024,Liverpool,2,0,Brentford,Liverpool 2 - 0 Brentford
31-08-2024,Man United,0,3,Liverpool,Man United 0 - 3 Liverpool
13-09-2024,Liverpool,0,1,Nott'm Forest,Liverpool 0 - 1 Nott'm Forest
20-09-2024,Liverpool,3,0,Bournemouth,Liverpool 3 - 0 Bournemouth
27-09-2024,Wolves,1,2,Liverpool,Wolves 1 - 2 Liverpool
04-10-2024,Crystal Palace,0,1,Liverpool,Crystal Palace 0 - 1 Liverpool
19-10-2024,Liverpool,2,1,Chelsea,Liverpool 2 - 1 Chelsea
26-10-2024,Arsenal,2,2,Liverpool,Arsenal 2 - 2 Liverpool
01-11-2024,Liverpool,2,1,Brighton,Liverpool 2 - 1 Brighton
08-11-2024,Liverpool,2,0,Aston Villa,Liverpool 2 - 0 Aston Villa
23-11-2024,Southampton,2,3,Liverpool,Southampton 2 - 3 Liverpool
30-11-2024,Liverpool,2,0,Man City,Liverpool 2 - 0 Man City
03-12-2024,Newcastle,3,3,Liverpool,Newcastle 3 - 3 Liverpool
13-12-2024,Liverpool,2,2,Fulham,Liverpool 2 - 2 Fulham
21-12-2024,Tottenham,3,6,Liverpool,Tottenham 3 - 6 Liverpool
25-12-2024,Liverpool,3,1,Leicester,Liverpool 3 - 1 Leicester
28-12-2024,West Ham,0,5,Liverpool,West Ham 0 - 5 Liverpool
04-01-2025,Liverpool,2,2,Man United,Liverpool 2 - 2 Man United
13-01-2025,Nott'm Forest,1,1,Liverpool,Nott'm Forest 1 - 1 Liverpool
17-01-2025,Brentford,0,2,Liverpool,Brentford 0 - 2 Liverpool
24-01-2025,Liverpool,4,1,Ipswich,Liverpool 4 - 1 Ipswich
31-01-2025,Bournemouth,0,2,Liverpool,Bournemouth 0 - 2 Liverpool
11-02-2025,Everton,2,2,Liverpool,Everton 2 - 2 Liverpool
15-02-2025,Liverpool,2,1,Wolves,Liverpool 2 - 1 Wolves
18-02-2025,Aston Villa,2,2,Liverpool,Aston Villa 2 - 2 Liverpool
22-02-2025,Man City,0,2,Liverpool,Man City 0 - 2 Liverpool
25-02-2025,Liverpool,2,0,Newcastle,Liverpool 2 - 0 Newcastle
07-03-2025,Liverpool,3,1,Southampton,Liverpool 3 - 1 Southampton
17-08-2024,Chelsea,0,2,Man City,Chelsea 0 - 2 Man City
23-08-2024,Man City,4,1,Ipswich,Man City 4 - 1 Ipswich
30-08-2024,West Ham,1,3,Man City,West Ham 1 - 3 Man City
13-09-2024,Man City,2,1,Brentford,Man City 2 - 1 Brentford
21-09-2024,Man City,2,2,Arsenal,Man City 2 - 2 Arsenal
27-09-2024,Newcastle,1,1,Man City,Newcastle 1 - 1 Man City
04-10-2024,Man City,3,2,Fulham,Man City 3 - 2 Fulham
19-10-2024,Wolves,1,2,Man City,Wolves 1 - 2 Man City
25-10-2024,Man City,1,0,Southampton,Man City 1 - 0 Southampton
